id_direccion,Direccion,Referencia ,id_establecimiento,Parroquia;
"10582,FRENTE A CDLA MANTA 2000,,10582,""MANTA, CABECERA CANTONAL""";
"10583,CALLE 15 AV 7 Y 8,,10583,""MANTA, CABECERA CANTONAL""";
"10584,AV. 4 DE NOVIEMBRE CALLE 112 PASEO SHOPPING MANTA,,10584,""MANTA, CABECERA CANTONAL""";
"10585,C.12 AV.20,,10585,""MANTA, CABECERA CANTONAL""";
"10586,MALL DEL PACIFICO PATIO DE COMIDAS,,10586,""MANTA, CABECERA CANTONAL""";
"10587,VIA MANTA ROCAFUERTE KM 11/2 DENTRO DEL MINI MARKET,,10587,""MANTA, CABECERA CANTONAL""";
"10588,CALLE 10 ENTRE Y AV. 2,,10588,""MANTA, CABECERA CANTONAL""";
"10589,CALLE 16 Y AV.FLAVIO REYES,,10589,""MANTA, CABECERA CANTONAL""";
"10590,MALL DEL PACIFICO ,,10590,""MANTA, CABECERA CANTONAL""";
"10591,PASEO SHOPINGG ,,10591,""MANTA, CABECERA CANTONAL""";
"10592,13 SD ENTRE AV. 20 Y 21,,10592,""MANTA, CABECERA CANTONAL""";
"10593,CUID. UNIVERSITARIA CALLE 8,,10593,""MANTA, CABECERA CANTONAL""";
"10594,22 S/N AV. FLAVIO REYES,,10594,""MANTA, CABECERA CANTONAL""";
"10595,AV.7 BARRIO CORDOVA,,10595,""MANTA, CABECERA CANTONAL""";
"10596,AV.14 ENTRE CALLES 13 Y 14 #405,,10596,""MANTA, CABECERA CANTONAL""";
"10597,AV. 10 Y CALLE 12 Y 13,,10597,""MANTA, CABECERA CANTONAL""";
"10598,VIA BARBASQUILLO PLAZADEL SOL,,10598,""MANTA, CABECERA CANTONAL""";
"10599,VIA BARBAQUILLO UMIÑA,,10599,""MANTA, CABECERA CANTONAL""";
"10600,AV. 24 Y CALLE 12 Y 13,,10600,""MANTA, CABECERA CANTONAL""";
"10601,SAN LORENZO FRENTE AL CEMENTERIO,,10601,""MANTA, CABECERA CANTONAL""";
"10602,C.C MANICENTRO L-28,,10602,""MANTA, CABECERA CANTONAL""";
"10603,BARRIO CORDOVA CALLE 17 AV 6,,10603,""MANTA, CABECERA CANTONAL""";
"10604,CALLE 27 Y AV FLAVIO REYES ,,10604,""MANTA, CABECERA CANTONAL""";
"10605,KM 1 1/2 VIA A BARBASQUILLO 5 HOTEL POSEIDON,,10605,""MANTA, CABECERA CANTONAL""";
"10606,PRINCIPAL S/N VIA A ROCAFUERTE,,10606,""MANTA, CABECERA CANTONAL""";
"10607,PLAZA DEL SOL LOCAL 26,,10607,""MANTA, CABECERA CANTONAL""";
"10608,BARRIO CORDOVA CALLE 19 AV. 7,,10608,""MANTA, CABECERA CANTONAL""";
"10609,AV 24 Y CALLE 17,,10609,""MANTA, CABECERA CANTONAL""";
10610,AV. 23 Y FLAVIO REYES,,10610,SAN LORENZO;
"10611,SITIO LA TRAVESIA SANTA MARIANITA,,10611,""MANTA, CABECERA CANTONAL""";
"10612,VIA SAN MATEO CDLA BARBASQUILLO,,10612,""MANTA, CABECERA CANTONAL""";
"10613,CDLA UNIVERSITARIA U2 Y CALLE U8,,10613,""MANTA, CABECERA CANTONAL""";
"10614,VIA A SAN MATEO S/N SN,,10614,""MANTA, CABECERA CANTONAL""";
"10615,calle 12 7 entre av 7 y 8,,10615,""MANTA, CABECERA CANTONAL""";
"10616,AV.MALECON SN CALLE 19,,10616,""MANTA, CABECERA CANTONAL""";
"10617,AV. MALECON S/N JUNTO A ECUABLUE,,10617,""MANTA, CABECERA CANTONAL""";
"10618,KM 1.5 VIA BARBASQUILLO  S/N JUNTO A MIKONOS ,,10618,""MANTA, CABECERA CANTONAL""";
"10619,BARRIO UMIÑA  VÍA A BARBASQUILLO,,10619,""MANTA, CABECERA CANTONAL""";
"10620,VIA A BARBASQUILLO S/N CALLE U 11,,10620,""MANTA, CABECERA CANTONAL""";
"10621,CALLE 16 SN AVENIDA 03,,10621,""MANTA, CABECERA CANTONAL""";
"10622,AVENIDA MALECÓN SN CALLE 19,,10622,""MANTA, CABECERA CANTONAL""";
"10623,Calle 107 130203 Ave 102,,10623,""MANTA, CABECERA CANTONAL""";
"10624,VIA SAN MATEO 1234 CIUDADELA MANTA 2000,,10624,""MANTA, CABECERA CANTONAL""";
"10625,Barbasquillo SN SN,,10625,""MANTA, CABECERA CANTONAL""";
"10626,Calle M3 Oficina AL 2 Av. 24,,10626,""MANTA, CABECERA CANTONAL""";
"10627,Km 1.5 Vía Barbasquillo B19 Via Barbasquillo,,10627,""MANTA, CABECERA CANTONAL""";
"10628,Av. Umiña 1 s/n Calle Umiña 4,,10628,""MANTA, CABECERA CANTONAL""";
"10629,16 B S/N AV. 40, Calle 12 avenida 23 sector la dolorosa Manta. ,10629,""MANTA, CABECERA CANTONAL""";
"10630,BARRIO LA PAZ SN RIO SAN MATEO, DIAGONAL AL RESTAURANTE ROLL WINGS ,10630,""MANTA, CABECERA CANTONAL""";
10631,Liguiqui Liguiqui Centro, ATRAS DEL HOSPITAL DEL IESS. ,10631,LOS ESTEROS;
"10632,Av. Flavio Reyes .Ciudadela Umiña II lote 1 Umiña 4, PASANDO EL EDIFICIO PLATINIUM ENFRENTE DEL EDIFICIO PUNTA ARENA ,10632,""MANTA, CABECERA CANTONAL""";
"10633,av 24  av 13 calle Ascario paz,,10633,""MANTA, CABECERA CANTONAL""";
"10634,RUTA DEL SPONDYLUS LOCAL 3 ND,,10634,""MANTA, CABECERA CANTONAL""";
"10635,CALLE 9 s/n AV. 16,,10635,""MANTA, CABECERA CANTONAL""";
"10636,LA QUADRA LOCAL 39 AV BARBASQUILLO, DIAGONAL A PLAZA DEL SOL ,10636,""MANTA, CABECERA CANTONAL""";
"10637,CALLE 16 0 AV 17,,10637,""MANTA, CABECERA CANTONAL""";
10638,CALLE OLIVA MIRANDA,,10638,SAN LORENZO;
"10639,VIA MANTA - SAN MATEO KM 5 S/N,,10639,""MANTA, CABECERA CANTONAL""";
"10640,VIA SAN MATEO KM5S/N,"" Paseo Shopping, patio de comidas. "",10640,""MANTA, CABECERA CANTONAL""";
"10641,AV. FLAVIO REYES Y CALLE 33 *B/UMIÑA,,10641,""MANTA, CABECERA CANTONAL""";
"10642,CALLE 17 Y AV. 6, FRENTE A FARMACIAS ECONOMICAS ,10642,""MANTA, CABECERA CANTONAL""";
"10643,MALECON ESCENICO LOCAL # 17,,10643,""MANTA, CABECERA CANTONAL""";
"10644,BARRIO UMIÑA CALLE 26 S/N,,10644,""MANTA, CABECERA CANTONAL""";
"10645,MALECON ESCENICO LOCAL # 7,,10645,""MANTA, CABECERA CANTONAL""";
"10646,UMIÑA 2  MZ 2  EL-03 FRENTE A HOSTAL VERZOI,""<p style=""""margin-left:0cm  margin-right:0cm""""><span style=""""font-size:11pt""""><span style=""""font-family:Calibri,sans-serif""""><strong><span style=""""font-size:12.0pt""""><span style=""""font-family:&quot Arial&quot ,&quot sans-serif&quot """">Provincia: </span></span></strong><span style=""""font-size:12.0pt""""><span style=""""font-family:&quot Arial&quot ,&quot sans-serif&quot """">MANABI <strong>Cantón: </strong>MANTA <strong>Parroquia: </strong>MANTA</span></span></span></span>   <p style=""""margin-left:0cm  margin-right:0cm""""><span style=""""font-size:11pt""""><span style=""""font-family:Calibri,sans-serif""""><strong><span style=""""font-size:12.0pt""""><span style=""""font-family:&quot Arial&quot ,&quot sans-serif&quot """">Dirección Calle: </span></span></strong><span style=""""font-size:12.0pt""""><span style=""""font-family:&quot Arial&quot ,&quot sans-serif&quot """">AV. 4 DE NOVIEMBRE <strong>Número: </strong>S/N <strong>Intersección: </strong>113 <strong>Edificio: </strong>C. C. PASEO SHOPPING MANTA <strong>Número de oficina: </strong>LOCAL. 52 <strong>Referencia: </strong>JUNTO A CLARO</span></span></span></span> "",10646,""MANTA, CABECERA CANTONAL""";
"10647,PARROQUIA SANTA MARIANITA   (PLAYA BONITA), Plaza La Cuadra&nbsp LOC 44-45&nbsp  ,10647,""MANTA, CABECERA CANTONAL""";
"10648,AVE. 3 No 10-34, MALL DEL PACIFICO FRENTE AL HOTEL ORO VERDE DE MANTA ,10648,""MANTA, CABECERA CANTONAL""";
"10649,AV.3 CALL 10 Y 11,,10649,""MANTA, CABECERA CANTONAL""";
"10650,AV.24 ENTRE C.16 Y17, DENTRO DEL CENTRO COMERCIAL LA QUADRA ,10650,""MANTA, CABECERA CANTONAL""";
"10651,AV. FLAVIO REYES CALLE 26 Y 27,,10651,""MANTA, CABECERA CANTONAL""";
"10652,AV.FLAVIO REYES Y AV. 21 Y 22,,10652,""MANTA, CABECERA CANTONAL""";
"10653,MALECON sn AV COLON,,10653,""MANTA, CABECERA CANTONAL""";
"10654,FLAVIO REYES Y CALLE 20,,10654,""MANTA, CABECERA CANTONAL""";
"10655,AV. FLAVIO REYES Y AV. 19,,10655,""MANTA, CABECERA CANTONAL""";
"10656,AV. FLAVIO REYES ENTRE AV. 22, junto a pizeria titus ,10656,""MANTA, CABECERA CANTONAL""";
"10657,AV. 24 CALLE 16 Y17,,10657,""MANTA, CABECERA CANTONAL""";
"10658,Avenida 24 esquina calle 17,,10658,""MANTA, CABECERA CANTONAL""";
"10659,FLAVIO REYES Y CALLE 29,,10659,""MANTA, CABECERA CANTONAL""";
"10660,MALECON ESCENICO LOCAL #20,,10660,""MANTA, CABECERA CANTONAL""";
10661,C.C PLAZA DEL SOL VIA BARBASQUILLO,,10661,SANTA MARIANITA (BOCA DE PACOCHE);
"10662,AV. FLAVIO REYES AV. 21,,10662,""MANTA, CABECERA CANTONAL""";
10663,PLAYA SANTA MARIANITA,,10663,SANTA MARIANITA (BOCA DE PACOCHE);
"10664,CIUDADELA UNIVERCITARIA MZ-AE LOTES 7 Y8,,10664,""MANTA, CABECERA CANTONAL""";
"10665,CALLE M3 ENTRE AV. 24 # 2377,,10665,""MANTA, CABECERA CANTONAL""";
"10666,AV. 4 DE NOVIEMBRE C.C.PASEO SHOPPING,,10666,""MANTA, CABECERA CANTONAL""";
"10667,""C.C. PASEO SHOPPING PATIO DE COMIDAS, AVDA. 4 DE NOVIEMBRE"",,10667,""MANTA, CABECERA CANTONAL""";
"10668,PARQUE DEL MARISCO TARQUI,,10668,""MANTA, CABECERA CANTONAL""";
"10669,C J-10 Y J-5 JOCAY,,10669,""MANTA, CABECERA CANTONAL""";
"10670,ED. TORRE DEL SOL L. C. 1.,,10670,""MANTA, CABECERA CANTONAL""";
"10671,ED.TORRE DEL SOL L.C 1,,10671,""MANTA, CABECERA CANTONAL""";
"10672,""B/UMIÑA, AVDA. FLAVIO REYES Y CALLE 26"",,10672,""MANTA, CABECERA CANTONAL""";
"10673,CALLE 13 AV 20,,10673,""MANTA, CABECERA CANTONAL""";
"10674,AVDA. 2 E/CALLES 9 Y 10 No. 941,,10674,""MANTA, CABECERA CANTONAL""";
"10675,AV. FLAVIO REYES Y CIRCUNVALANCION, alado del portal de Fanny alado del edificio de las oficinas del IESS ,10675,""MANTA, CABECERA CANTONAL""";
"10676,BARRIO UMIÑA  AV. FLAVIO REYES Y CALLE 25,,10676,""MANTA, CABECERA CANTONAL""";
"10677,""Malecon de tarqui Parque del maisco, LOCAL#4"",,10677,""MANTA, CABECERA CANTONAL""";
"10678,PLAZA BEACH LOCAL 15,,10678,""MANTA, CABECERA CANTONAL""";
"10679,VIA BARBASQUILLO FRENTE A LA TRINCHERA,,10679,""MANTA, CABECERA CANTONAL""";
"10680,CALLE 20 Y AV. FLAVIO REYES,,10680,""MANTA, CABECERA CANTONAL""";
"10681,AV FLAVIO REYES S/N CALLE 20,,10681,""MANTA, CABECERA CANTONAL""";
"10682,AV.FLAVIO REYES Y AV. 21,,10682,""MANTA, CABECERA CANTONAL""";
"10683,AV. 108 S/N CALLE 120,,10683,""MANTA, CABECERA CANTONAL""";
"10684,PLAZA DEL SOL LOCAL 1,,10684,""MANTA, CABECERA CANTONAL""";
"10685,BARRIO EL MURCIÉLAGO AV 24,,10685,""MANTA, CABECERA CANTONAL""";
"10686,CIUDADELA ULEAM MZ. AD L-07,,10686,""MANTA, CABECERA CANTONAL""";
"10687,VIA PUERTO AEREO PUERTO GASOLINERA,,10687,""MANTA, CABECERA CANTONAL""";
"10688,UMIÑA II MZ-H L#1-2,,10688,""MANTA, CABECERA CANTONAL""";
"10689,AV.24 Y C. 10 DE AGOSTO,,10689,""MANTA, CABECERA CANTONAL""";
"10690,URB.MANTA 2000 MZ.-24 LOTE#1,,10690,""MANTA, CABECERA CANTONAL""";
"10691,AV. FLAVIO REYES Y CIRCUNVALACION,,10691,""MANTA, CABECERA CANTONAL""";
"10692,AV. 24 ENTRE CALLE 17 Y 20,,10692,""MANTA, CABECERA CANTONAL""";
"10693,LA PRADERA AV.-P2 CALLE P-14,,10693,""MANTA, CABECERA CANTONAL""";
"10694,SECTOR VIA SAN MATEO SECTOR BARABASQUILLO MADIA CUADRA DEL NUEVO COLISEO,,10694,""MANTA, CABECERA CANTONAL""";
"10695,""Via San Mateo, atras del coliseo tohalli SN NA"",,10695,""MANTA, CABECERA CANTONAL""";
10696,VIA MANTA 2000 DIAGONAL AL MINI MARKET STOP SHOP, Tarqui- Manta calle 306 y Ave.113 torres del Norte Apart Hotel ,10696,TARQUI;
"10697,UMIÑA II MZ F LOTE 07,,10697,""MANTA, CABECERA CANTONAL""";
"10698,CALLE BARBASQUILLO S/N VIA A BARBASQUILLO,DIAGONAL AL HOTEL CABAÑAS BALANDRA,10698,""MANTA, CABECERA CANTONAL""";
"10699,AV. 4 DE NOVIEMBRE FRENTE AL UVC,,10699,""MANTA, CABECERA CANTONAL""";
"10700,AVENIDA 24 calle 17,,10700,""MANTA, CABECERA CANTONAL""";
"10701,AV.15 CALLE 13 Y12,,10701,""MANTA, CABECERA CANTONAL""";
"10702,AV. 15 S/N Y CALLE 12 Y 13 A LADO DE LA AGENCIA DEL BANCO DEL PICHINCHA,,10702,""MANTA, CABECERA CANTONAL""";
"10703,AV. 22 Y AV. FLAVIO REYES,,10703,""MANTA, CABECERA CANTONAL""";
"10704,CALLE 21 Y 22 AV FLAVIO REYES,,10704,""MANTA, CABECERA CANTONAL""";
"10705,""AV. 20,17 Y AV. FLAVIO REYES"",,10705,""MANTA, CABECERA CANTONAL""";
"10706,BARRIO UMIÑA AV FLAVIO REYES Y CALLE 26,,10706,""MANTA, CABECERA CANTONAL""";
"10707,AV. 24 Y CALLE 17,,10707,""MANTA, CABECERA CANTONAL""";
"10708,AV. 4 DE NIVIEMBRE FRENTE A LA POLCIA,,10708,""MANTA, CABECERA CANTONAL""";
"10709,CALLE 19 AV. 7,,10709,""MANTA, CABECERA CANTONAL""";
"10710,PARROQUIA SAN MATEO ,,10710,""MANTA, CABECERA CANTONAL""";
"10711,CALLE 12 Y AV. 2Y3,,10711,""MANTA, CABECERA CANTONAL""";
"10712,AV. 20,,10712,""MANTA, CABECERA CANTONAL""";
"10713,AV. SAN LORENZO ( SAN LORENZO),,10713,""MANTA, CABECERA CANTONAL""";
"10714,CIUD. ULEAN MZ-AC-LT O7,,10714,""MANTA, CABECERA CANTONAL""";
"10715,VIA BARBASQUILLO/B. UMIÑA,,10715,""MANTA, CABECERA CANTONAL""";
"10716,CALLE 13 Y 14 . AV 14, SECTOR EL PALMAR ,10716,""MANTA, CABECERA CANTONAL""";
"10717,CLDA. UNIVERSITARIA U-8 S/N Y AV. U-3,,10717,""MANTA, CABECERA CANTONAL""";
"10718,C.C. MALL DEL PACIFICO,,10718,""MANTA, CABECERA CANTONAL""";
"10719,Av 04 de noviembre S/N Calle 113,,10719,""MANTA, CABECERA CANTONAL""";
"10720,C.C.MANICENTRO L#25,,10720,""MANTA, CABECERA CANTONAL""";
"10721,AEROPUERTO INTERNACIONAL GENERAL ELOY ALFARO,,10721,""MANTA, CABECERA CANTONAL""";
"10722,MALL DEL PACIFICO,,10722,""MANTA, CABECERA CANTONAL""";
"10723,PASEO SHOPPING,,10723,""MANTA, CABECERA CANTONAL""";
"10724,C.C. COCCO MANTA,,10724,""MANTA, CABECERA CANTONAL""";
"10725,VIA PUERTO - AEROPUERTO S/N SECUNDARIA,,10725,""MANTA, CABECERA CANTONAL""";
"10726,4 DE NOVIEMBRE S/N SECUNDARIA,,10726,""MANTA, CABECERA CANTONAL""";
"10727,CIUDADELA UMIÑA 2 MZ I LOTE 1. VIA BARBASQUILLO,,10727,""MANTA, CABECERA CANTONAL""";
"10728,AV. 4 DE NOVIEMBRE Y CALLE 113,,10728,""MANTA, CABECERA CANTONAL""";
"10729,AV. 4 DE NOVIEMBRE S/N 113,,10729,""MANTA, CABECERA CANTONAL""";
"10730,PASEO COCCO MANTA,,10730,""MANTA, CABECERA CANTONAL""";
"10731,AV 4 DE NOVIEMBRE  s/n CALLE113,,10731,""MANTA, CABECERA CANTONAL""";
"10732,""C.C. PASEO SHOPPING, LOCAL #C-7"",,10732,""MANTA, CABECERA CANTONAL""";
"10733,SITIO PACOCHE VIA SAN LORENZO,,10733,""MANTA, CABECERA CANTONAL""";
"10734,AV. 13 ENTRADA A MAR BELLA,,10734,""MANTA, CABECERA CANTONAL""";
"10735,C.C. MANICENTRO LOCAL#45,,10735,""MANTA, CABECERA CANTONAL""";
"10736,VIA A BARBASQUILLO S/N KM1 ,,10736,""MANTA, CABECERA CANTONAL""";
"10737,AV. FALVIO REYES Y CALLE 17 Y 18,,10737,""MANTA, CABECERA CANTONAL""";
"10738,CALLE 15 Y AV.28 Y 30,,10738,""MANTA, CABECERA CANTONAL""";
"10739,CALLE 15 AV. 28 Y 30 ,,10739,""MANTA, CABECERA CANTONAL""";
"10740,VIA SAN MATEO CALLE 12 - MANTA 2000,,10740,""MANTA, CABECERA CANTONAL""";
"10741,CALLE 24 B E/M3 Y M4 JUNTO A LA I.P.SOCO,,10741,""MANTA, CABECERA CANTONAL""";
"10742,CALLE OLIVIO SAN AGUSTIN,,10742,""MANTA, CABECERA CANTONAL""";
"10743,CALLE 12 Y 13 Y AV. 6,,10743,""MANTA, CABECERA CANTONAL""";
"10744,CALLE BOLIVAR (FRENTE A LA ESCUELA CAMILO GALLEGOS),,10744,""MANTA, CABECERA CANTONAL""";
"10745,CALLE 9 DE JULIO Y AV. METROPOLITANA,,10745,""MANTA, CABECERA CANTONAL""";
10746,PANAMERICANA  A LADO DE  ESQUINA DE ALES, FRENTE A LA IGLESIA DEL ROSARIO ,10746,TARQUI;
"10747,VIA MANTA KM 1 DIAGONAL  AL SECTOR EL PUEBLITO,,10747,""MANTA, CABECERA CANTONAL""";
"10748,SITIO EL COLORADO,,10748,""MANTA, CABECERA CANTONAL""";
"10749,MANTA S/N DOMINGO CASTILLO,,10749,""MANTA, CABECERA CANTONAL""";
"10750,ROCAFUERTE Y CHIMBORAZO,,10750,""MANTA, CABECERA CANTONAL""";
"10751,KM 5 1/2 VIA MANTA-MONTECRISTI,,10751,""MANTA, CABECERA CANTONAL""";
"10752,""VIA AL BAJO DE AFUERA, SITIO TOALLA CHICA"",,10752,""MANTA, CABECERA CANTONAL""";
"10753,""VIA CIRCUNVALACION, TRAMO III"",,10753,""MANTA, CABECERA CANTONAL""";
10754,SITIO COLORADO TRAMO 3 VÍA CIRCUNVALACIÓN,,10754,SANTA MARIANITA (BOCA DE PACOCHE);
"10755,CARRETERA MANTA-MONTECRISTI KM 4.5,,10755,""MANTA, CABECERA CANTONAL""";
"10756,PANAMERICANA KM 7 1/2 MONTECRISTI,,10756,""MANTA, CABECERA CANTONAL""";
"10757,""VIA MANTA-MONTECRISTI, CDLA. LAS PAMPAS"",,10757,""MANTA, CABECERA CANTONAL""";
"10758,AVE. METROPOLITANA Y CALLE 9 DE JULIO,,10758,""MANTA, CABECERA CANTONAL""";
"10759,CALLE 9 DE JULIO Y ANIBAL SAN ANDRES,,10759,""MANTA, CABECERA CANTONAL""";
"10760,AVENIDA METROPOLITANA S/N CALLE 9 Y 15 DE OCTUBRE,,10760,""MANTA, CABECERA CANTONAL""";
"10761,BRISSON S/N SANTA TERESA,,10761,""MANTA, CABECERA CANTONAL""";
"10762,SITIO EL COLORADO KM 5 1/2 VIA MANTA PORTOVIEJO,,10762,""MANTA, CABECERA CANTONAL""";
"10763,PLAYA SAN JOSE CALLE LOS GERANIOS,,10763,""MANTA, CABECERA CANTONAL""";
"10764,""VIA CIRCUNVALACION II S/N DIAGONAL COMPAÑIA HYUNDAY, LAS LAGUNAS"", Diagonal a Cancha del barrio el Mirador ,10764,LOS ESTEROS";
"10765,MONTECRISTI COLORADO,,10765,""MANTA, CABECERA CANTONAL""";
"10766,BARRIO SANTA ROSA S/N PRINCIPAL /CASCOL PAJAN,,10766,""MANTA, CABECERA CANTONAL""";
"10767,24 DE MAYO Y EUGENIO ESPEJO,,10767,""MANTA, CABECERA CANTONAL""";
"10768,CALLE PRINCIPAL VIA GUAYAS,,10768,""MANTA, CABECERA CANTONAL""";
"10769,AV. 13 DE DICIEMBRE A 60 METROS DE LA MECANICA GOMEZ,,10769,""MANTA, CABECERA CANTONAL""";
"10770,ROCAFUERTE S/N MANUEL LORENZO,,10770,""MANTA, CABECERA CANTONAL""";
"10771,AV. GARCIA MORENO Y EFRAIN ROBLES,,10771,""MANTA, CABECERA CANTONAL""";
"10772,ALEJO CENTENO S/N MALECÓN,,10772,""MANTA, CABECERA CANTONAL""";
"10773,VIA ESMERALDAS KM. 18 SAN PEDRO DE CAPERA RECINTO CHEBE,,10773,""MANTA, CABECERA CANTONAL""";
"10774,VIA COJIMIES KM 3/1  S/N MARGEN IZQUIERDO,,10774,""MANTA, CABECERA CANTONAL""";
"10775,JAIME ROLDOS 430 VELASCO IBARRA,,10775,""MANTA, CABECERA CANTONAL""";
"10776,AV PRINCIPAL JUNTO AL TALLER DE MECANICA ERCOTIRE,,10776,""MANTA, CABECERA CANTONAL""";
"10777,AVENIDA MAXIMINO PUERTAS S/N CALLE B,,10777,""MANTA, CABECERA CANTONAL""";
"10778,JOSE MARTINEZ S/N PLAZA ACOSTA,,10778,""MANTA, CABECERA CANTONAL""";
"10779,GONZALES ZUARES Y JUAN PEREIRA,,10779,""MANTA, CABECERA CANTONAL""";
"10780,JUAN PEREIRA S/N PRIMERA TRANSVERSAL,,10780,""MANTA, CABECERA CANTONAL""";
"10781,JUAN PEREIRA Y MALECON 2DA ETAPA,,10781,""MANTA, CABECERA CANTONAL""";
"10782,AV. ELOY ALFARO Y MALECON ESQUINA,,10782,""MANTA, CABECERA CANTONAL""";
"10783,CALLE MANABI ENTRE JUAN PEREIRA Y ELOY ALFARO,,10783,""MANTA, CABECERA CANTONAL""";
"10784,MALECON CALLE GARCIA MORENO,,10784,""MANTA, CABECERA CANTONAL""";
"10785,AV. PLAZA ACOSTA Y PEDERNALES,,10785,""MANTA, CABECERA CANTONAL""";
"10786,ELOY ALFARO ENTRE MANABI Y PEDERNALES,,10786,""MANTA, CABECERA CANTONAL""";
"10787,RUPERTO DELGADO FRENTE AL MAR,,10787,""MANTA, CABECERA CANTONAL""";
"10788,PEDERNALES S/N MANABI,,10788,""MANTA, CABECERA CANTONAL""";
"10789,CALLE PRINCIPAL RUPERTO DELGADO,,10789,""MANTA, CABECERA CANTONAL""";
"10790,CALLEJON CAIDA DE SOL S/N RUPERTO DELGADO,,10790,""MANTA, CABECERA CANTONAL""";
"10791,AV. MALECO Y PLAZA ACOSTA,,10791,""MANTA, CABECERA CANTONAL""";
"10792,KM 34 1/2 VÍA ESMERALDAS,,10792,""MANTA, CABECERA CANTONAL""";
"10793,MALECON 000 GARCIA MORENO Y PLAZA ACOSTA,,10793,""MANTA, CABECERA CANTONAL""";
"10794,AV. MAXIMILIANO PUERTA Y VIA COJIMIES,,10794,""MANTA, CABECERA CANTONAL""";
"10795,ELOY ALFARO S/N MARIA AUXILIADORA,,10795,""MANTA, CABECERA CANTONAL""";
"10796,CALLE ELOY ALFARO Y VELESCO IBARRA,,10796,""MANTA, CABECERA CANTONAL""";
"10797,AV. ELOY ALFARO Y VELASACO IBARRA,,10797,""MANTA, CABECERA CANTONAL""";
"10798,MALECON SECTOR LA CHORRERA,,10798,""MANTA, CABECERA CANTONAL""";
"10799,AV. ELOY ALFARO S/N Y VELASCO IBARRA, Gasolinera Petroecuador de la Avenida de la Cultura ,10799,""MANTA, CABECERA CANTONAL""";
"10800,ELOY ALFARO Y MALECON,,10800,""MANTA, CABECERA CANTONAL""";
"10801,Lotización Torresmolino S/N Sin nombre,,10801,""MANTA, CABECERA CANTONAL""";
"10802,LOPEZ CASTILLO 702 7 DE NOVIEMBRE,,10802,""MANTA, CABECERA CANTONAL""";
"10803,SITIO LA CHORRERA ,,10803,""MANTA, CABECERA CANTONAL""";
"10804,AV. RUPERTO DELGADO Y MENUEL,,10804,""MANTA, CABECERA CANTONAL""";
"10805,MALECON Y GARCIA MORENO,,10805,""MANTA, CABECERA CANTONAL""";
"10806,PLAZA ACOSTA Y MALECON SEGUNDA TRANVERSAL,,10806,""MANTA, CABECERA CANTONAL""";
"10807,AV. ELOY ALFARO Y 27 DE NOVIEMBRE,,10807,""MANTA, CABECERA CANTONAL""";
"10808,MALECON FRENTE AL PARQUE,"" de la entrada principal de santa marianita avanzamos 1,2 kilometros hasta la cancha de futbol luego bajamos por ay unos 50 metros estamos ubicados "",10808,SANTA MARIANITA (BOCA DE PACOCHE)";
"10809,MALECON S/N GARCIA MORENO,,10809,""MANTA, CABECERA CANTONAL""";
"10810,ELOY ALFARO Y 27 DE NOVIEMBRE,,10810,""MANTA, CABECERA CANTONAL""";
"10811,VIA COJIMIES S/N KM 20 1/2,,10811,""MANTA, CABECERA CANTONAL""";
"10812,CALLE LOPEZ CASTILLO Y GARCIA MORENO,,10812,""MANTA, CABECERA CANTONAL""";
"10813,MALECON Y PLAZA ACOSTA, AL FINAL DEL BARRIO UMIÑA ,10813,""MANTA, CABECERA CANTONAL""";
"10814,GONZALES SUARES Y PLAZA ACOSTA,,10814,""MANTA, CABECERA CANTONAL""";
"10815,KILOMETRO UNO Y MEDIO VIA EL CARMEN,,10815,""MANTA, CABECERA CANTONAL""";
"10816,VÍA EL CARMEN FRENTE A LA GASOLINERA PRIMAX,,10816,""MANTA, CABECERA CANTONAL""";
"10817,ELOY ALFARO Y MANABI,,10817,""MANTA, CABECERA CANTONAL""";
"10818,""ELOY ALFARO Y CALLE VELASCO IBARRA, BARRIO CENTRAL DIAGONAL A LA CNT"",,10818,""MANTA, CABECERA CANTONAL""";
"10819,CALLE B DIAGONAL AL HOSTAL LAS GAVIOTAS,,10819,""MANTA, CABECERA CANTONAL""";
"10820,JAIME ROLDOS Y MANABI,,10820,""MANTA, CABECERA CANTONAL""";
10821,CALLE COLON BARRIO LA PAZ, FRENTE AL REDONDE EL AEROPUERTO DIAGONAL A GASOLINERA PRIMAX ,10821,LOS ESTEROS;
"10822,VIA COJIMIES S/N KM 20 1/2 ,,10822,""MANTA, CABECERA CANTONAL""";
10823,VELASCO IBARRA Y JUAN PEREIRA,,10823,SANTA MARIANITA (BOCA DE PACOCHE);
"10824,kMT. 5 1/2 VIA EL CARMEN,,10824,""MANTA, CABECERA CANTONAL""";
"10825,PEDERNALES VIA COJIMIES,,10825,""MANTA, CABECERA CANTONAL""";
"10826,EL ORO SN TULCAN Y RIOBAMBA,,10826,""MANTA, CABECERA CANTONAL""";
"10827,AV. PLAZA ACOSTA Y 27 DE NOVIEMBRE,FRENTE A DISENSA A 150 MTS DE LA GASOLINERA CABALLO DE TROYA,10827,""MANTA, CABECERA CANTONAL""";
"10828,AV.27 DE NOVIEMBRE Y GARCIA MORENO,,10828,""MANTA, CABECERA CANTONAL""";
10829,GARCIA MORENO VIA AL CARMEN,,10829,SAN LORENZO;
