id_direccion,Direccion,Referencia ,id_establecimiento,Parroquia;
"72,LUIS MORENO MORA ESQUINA EDUARDO MALO,,72,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"73,""EL QUINCHE, RICAURTE JUNTO AL COLEGIO DE LAS CATALINAS"",,73,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"74,""AV. PUEBLO DE LOS QUITUS Y CALLE SIN NOMBRE, CHALLUABAMBA"",,74,HUAYNACÁPAC";
"75,SANGURIMA Y MANUEL VEGA,,75,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"76,AV ORDOÑEZ LAZO KM 5 S/N S/N,,76,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"77,CALLE LARGA 2-38 MANUEL VEGA,,77,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
78,HONORATO VASQUEZ 5-25 MARIANO CUEVA,SAYAUSI,78,SAYAUSÍ;
79,KM 21 VIA A MOLLETURO,FRENTE A LAS RUINAS ARQUEOLOGICAS DE TODOS SANTOS,79,SAN BLAS;
"80,LEOPOLDO DAVILA Y AV. DE LAS AMERICAS,"" A CUADRA Y MEDIA DE LA IGLESIA DE LA MERCED, EN LA CALLE HONORATO VASQUEZ "",80,EL SAGRARIO";
"81,GUAYANAY 1-26 PACHACAMAC,,81,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"82,SUCRE 16-62 Y MIGUEL VELEZ,,82,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
83,TERMINAL TERRESTRE EL CHORRO Y SEBASTIAN DE BENALCAZAR,CIUDADELA ALVAREZ,83,CAÑARIBAMBA;
"84,JULIA BERNAL 3-18 JAIME ROLDOS,,84,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"85,BENIGNO MALO Y JUAN JARAMILLO,,85,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
