id_Parroquia,nombre,cabecera,Id_Canton,id_direccion
"102,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"103,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"104,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"105,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"106,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"107,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"108,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"109,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"110,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"111,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"112,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"113,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"114,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"115,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"116,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"117,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"118,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"119,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"120,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"121,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"122,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"123,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"124,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"125,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"126,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"127,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"128,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"129,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"130,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"131,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"132,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"133,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"134,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"135,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"136,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"137,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"138,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"139,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"140,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"141,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"142,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"143,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"144,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"145,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"146,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"147,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"148,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"149,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"150,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"151,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"152,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"153,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"154,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"155,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"156,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"157,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"158,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"159,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"160,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"161,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"162,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"163,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"164,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"165,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"166,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"167,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"168,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"169,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"170,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"171,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"172,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"173,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"174,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"175,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"176,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"177,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"178,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"179,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"180,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"181,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"182,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
