id_actividad,actividad,id_canton,canton,codigo_canton,poblacion,id_provincia,id_categoria,categoria,id_contacto,id_establecimiento,correo_electronico,telefono_principal,telefono_secundario,id_establecimiento,id_tipo_comercio,nombre,direccion_web,direccion,nombre_categoria,id_establecimiento,id_actividad,id_parroquia,parroquia,id_canton,id_provincias,provincia,ventas_generadas,establecimientos_regulados,id_tipo_comercio,clasificacion,id,direccion,referencia,id_parroquia
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,55,tercera,1,1,,072430452,,608,1,"CAMARON  DE  ORO  EL",,"AV.  PICHINCHA  Y  LOJA",TERCERA,608,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,443,"AV.  PICHINCHA  Y  LOJA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,54,"tercera ",1,1,,072430452,,608,1,"CAMARON  DE  ORO  EL",,"AV.  PICHINCHA  Y  LOJA",TERCERA,608,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,443,"AV.  PICHINCHA  Y  LOJA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,1,"TERCERA                                           ",1,1,,072430452,,608,1,"CAMARON  DE  ORO  EL",,"AV.  PICHINCHA  Y  LOJA",TERCERA,608,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,443,"AV.  PICHINCHA  Y  LOJA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,7,"(1)  Un  tenedor                                  ",1,1,,072430452,,605,1,"SABOR  LATINO",,"AV  DON  BOSCO  1-09  AV  SOLANO","(1)  Un  tenedor",605,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,441,"AV  DON  BOSCO  1-09  AV  SOLANO",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,55,tercera,1,1,,072430452,,603,8,SUBWAY,,"GENERAL  TORRES  Y  AV  LAS  AMERICAS",TERCERA,603,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",439,"GENERAL  TORRES  Y  AV  LAS  AMERICAS",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,54,"tercera ",1,1,,072430452,,603,8,SUBWAY,,"GENERAL  TORRES  Y  AV  LAS  AMERICAS",TERCERA,603,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",439,"GENERAL  TORRES  Y  AV  LAS  AMERICAS",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,1,"TERCERA                                           ",1,1,,072430452,,603,8,SUBWAY,,"GENERAL  TORRES  Y  AV  LAS  AMERICAS",TERCERA,603,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",439,"GENERAL  TORRES  Y  AV  LAS  AMERICAS",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,55,tercera,1,1,,072430452,,602,8,DOLCE,,"FELIPE  II  INTERIOR  DEL  MALL  DEL  RIO",TERCERA,602,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",438,"FELIPE  II  INTERIOR  DEL  MALL  DEL  RIO",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,54,"tercera ",1,1,,072430452,,602,8,DOLCE,,"FELIPE  II  INTERIOR  DEL  MALL  DEL  RIO",TERCERA,602,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",438,"FELIPE  II  INTERIOR  DEL  MALL  DEL  RIO",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,1,"TERCERA                                           ",1,1,,072430452,,602,8,DOLCE,,"FELIPE  II  INTERIOR  DEL  MALL  DEL  RIO",TERCERA,602,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",438,"FELIPE  II  INTERIOR  DEL  MALL  DEL  RIO",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,55,tercera,1,1,,072430452,,601,8,DOLCE,,"SUCRE  9-110  Y  PADRE  AGUIRRE",TERCERA,601,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",437,"SUCRE  9-110  Y  PADRE  AGUIRRE",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,54,"tercera ",1,1,,072430452,,601,8,DOLCE,,"SUCRE  9-110  Y  PADRE  AGUIRRE",TERCERA,601,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",437,"SUCRE  9-110  Y  PADRE  AGUIRRE",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,1,"TERCERA                                           ",1,1,,072430452,,601,8,DOLCE,,"SUCRE  9-110  Y  PADRE  AGUIRRE",TERCERA,601,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",437,"SUCRE  9-110  Y  PADRE  AGUIRRE",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,2,"SEGUNDA                                           ",1,1,,072430452,,599,5,"SELFIE  URBAN  CLUB",,"ANTONIO  BORRERO  5-80  Y  JUAN  JARAMILLO",SEGUNDA,599,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,5,DISCOTECA,435,"ANTONIO  BORRERO  5-80  Y  JUAN  JARAMILLO",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,55,tercera,1,1,,072430452,,596,6,"TIA  TERESITA",,"AV.  12  DE  ABRIL  1-21  Y  HERRERIAS",TERCERA,596,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,6,CAFETERÍA,433,"AV.  12  DE  ABRIL  1-21  Y  HERRERIAS",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,54,"tercera ",1,1,,072430452,,596,6,"TIA  TERESITA",,"AV.  12  DE  ABRIL  1-21  Y  HERRERIAS",TERCERA,596,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,6,CAFETERÍA,433,"AV.  12  DE  ABRIL  1-21  Y  HERRERIAS",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,1,"TERCERA                                           ",1,1,,072430452,,596,6,"TIA  TERESITA",,"AV.  12  DE  ABRIL  1-21  Y  HERRERIAS",TERCERA,596,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,6,CAFETERÍA,433,"AV.  12  DE  ABRIL  1-21  Y  HERRERIAS",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,3,"CUARTA                                            ",1,1,,072430452,,593,1,"ASADERO  CAMPANA  HUAICO",,"VIA  A  BARABON  GRANDE  SECTOR  TENIS  Y  GOLF",CUARTA,593,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,431,"VIA  A  BARABON  GRANDE  SECTOR  TENIS  Y  GOLF",,3
